UniqueCount	AmbigCount
20	3
0	0
11	43
4	32
37	28
0	0
24	0
8	0
4	0
0	0
9	0
9	0
160	54
83	2
3	0
6	14
0	0
0	15
122	19
0	0
0	0
0	0
0	0
0	0
29	0
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	10
0	0
0	1
0	5
0	0
159	7
0	0
1	14
0	4
0	0
5	0
13	60
1	162
61	341
0	38
0	222
56	76
0	108
0	43
100	150
29	171
333	292
0	145
0	91
0	39
3	178
0	74
53	80
2	160
344	2343
32	2312
3	38
23	0
5	167
0	166
7	11
0	11
0	7
19	1
0	0
4	0
22	47
106	165
1	0
0	210
33	348
0	78
162	259
24	83
1	28
0	296
126	82
0	0
397	952
35	24
6	12
0	0
0	0
0	0
1	0
0	0
0	19
10	6
498	8
0	0
26	462
7	644
135	3783
622	149
2	85
0	1663
0	2961
384	761
0	1017
164	37
43	239
15	21
26	62
5	298
148	29
10	773
689	147
0	61
0	45
0	0
0	2
0	0
2	20
0	48
0	48
0	48
0	0
0	0
0	1
0	1
0	1
0	48
0	0
0	0
0	0
0	0
0	0
0	2
26	1275
0	0
0	0
0	0
0	0
847	2701
0	197
0	45
0	1684
1	735
30	163
215	2635
30	2625
17	11
448	52
2	64
0	0
0	0
0	0
48	17
3	3
10	3
38	2
0	0
6	12
0	0
0	0
0	11
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
3	7
0	0
1	0
0	0
29	163
0	0
10	0
0	1
0	0
0	29
0	2
0	1
0	0
0	0
0	12
2	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
241	3
4	5
0	5
2	0
0	0
1	5
13	0
0	0
13	11
0	10
1	1
1	2617
5	1
0	0
344	149
12	143
2	26
6	17
1	24
1313	175
2	354
1	74
5	1
0	0
2	160
0	0
9	2
21	1383
1	1421
4	1460
485	33
2	1080
106	1196
0	1383
12	61
105	142
7	1149
282	281
226	108
11	19
11	0
18	43
0	100
0	7
9	15
21	43
0	91
8	60
69	47
0	65
3	70
2	51
1	0
12	12
0	8
0	1
0	0
0	3
0	3
0	2
0	2
0	2
1	0
0	0
125	851
15	484
17	448
2	229
202	385
29	115
8	132
4	85
2	7
127	622
117	118
0	40
0	108
1	20
2	120
8	106
0	36
0	112
0	29
0	22
0	453
0	51
433	9
3	88
45	68
0	78
6	28
0	12
0	22
0	103
14	7
8	20
2	11
5	48
2	0
925	1851
0	164
16	142
36	52
11	27
5	1496
8	13
0	76
30	0
33	12
0	0
0	0
113	407
0	0
42	42
8	16
0	0
0	0
1	0
0	2
0	7
0	0
147	209
10	50
0	0
4	8
0	3
0	3
0	3
3	43
0	0
0	0
55	24
0	111
0	0
0	0
1	1
0	0
0	111
0	0
0	0
0	6
0	0
18	46
0	0
48	43
1	5
0	4
0	0
1	9
0	0
22	811
0	0
0	4
0	4
0	4
0	2
0	4
0	0
0	0
13	0
0	1
0	0
0	16
0	16
0	0
0	0
0	0
0	0
0	0
0	0
18	0
1	0
0	0
2	0
26	1966
0	2001
40	1370
28	0
11	21
32	192
17	741
90	693
223	193
35	169
0	83
50	69
40	0
17	0
16	0
68	141
4	0
245	154
125	48
0	0
0	0
1117	103
9	72
2	51
335	107
1	18
28	84
0	0
0	0
1	50
0	0
0	0
12	10
0	19
0	18
0	19
0	6
0	0
0	3
0	3
0	5
10	5
0	22
2	12
0	0
0	2
0	0
0	0
5	8
1	0
9	73
0	91
5	4274
3	0
0	0
0	845
1	6
12	25
1	0
30	101
0	0
0	1
1	1
0	0
38	403
0	168
4	295
72	121
12	7
0	7
0	0
0	2
18	11
66	27
0	0
1	2898
215	10776
77	7521
55	2446
14	5825
16	4420
90	52
11	52
0	0
2	0
0	121
0	114
0	108
2	108
0	107
1	252
0	266
0	249
0	177
0	235
0	222
2	115
0	9
0	11
7	20
0	7
0	11
0	0
1	0
0	0
10	40
8	12
187	62
20	47
36	56
30	8
4	0
230	323
21	317
19	152
0	117
4	154
3	89
6	37
4	7
0	1
4	4
2	1
75	39
0	76
1	243
0	26
14	243
2	0
10	36
49	59
0	28
0	0
0	5
0	0
0	0
0	5
83	12
1	0
0	0
2	0
0	0
35	83
0	9
0	0
0	0
2	35
0	0
0	0
160	229
42	15
6	20
31	29
4	2
0	43
0	5
9	48
5	0
0	0
0	0
1	1
0	494
0	494
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
6	5
0	0
0	0
0	193
720	1519
2	1281
64	768
4	189
46	172
0	0
0	0
2	13
0	0
0	0
1	1
0	1
3	0
0	0
94	184
0	0
1	20
0	0
0	0
14	37
0	0
0	0
0	0
0	0
0	0
4	63
2	80
65	861
0	866
8	368
7	317
3	13
0	0
0	0
0	0
0	0
13	48
0	48
0	10
0	10
0	0
0	0
0	1
22	1
515	18
2	18
5	0
1	0
6	55
23	55
53	48
2	0
0	0
1	4
16	16
0	0
0	0
0	20
0	0
0	20
0	0
1	0
0	0
0	0
0	0
0	0
0	0
9	0
0	0
0	4
0	4
0	2
0	2
0	2
0	2
12	1
0	0
1	128
149	102
15	6
0	0
0	0
0	95
0	95
0	95
0	95
0	95
0	93
0	0
0	2
0	1
1	0
0	0
27	3
0	2
0	0
5	18
0	18
0	0
18	0
0	0
58	0
0	0
638	543
19	208
0	87
19	0
0	1
0	0
1	2
289	870
0	2
21	1072
99	1906
0	134
0	1281
34	762
36	648
4	787
22	13
5	13
0	2
0	2
3	1083
0	3279
0	3289
0	3364
24	1842
201	3371
0	204
2	1707
156	673
9	3
0	0
0	0
0	0
0	0
0	0
9	5
0	11
0	11
0	0
1	105
0	19217
0	10417
59	10643
0	30371
0	39355
0	76202
3	36575
5	610
4	72
0	23
102	715
10	31
7	67
0	0
0	6
34	34
55	21
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
33	115
0	0
1	0
0	2
12	500
0	0
0	0
0	0
56	7
9	8
3	0
49	52
0	0
2	86
0	0
3	18
10	1
44	84
3	11
136	46
49	176
0	0
0	0
0	0
53	13
0	0
2	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
10	63
0	6
0	0
33	22
0	0
0	0
0	0
5	4
7	4
0	0
2	158
0	1
