width	transcription.factor
699	ERa
373	ERa
246	ERa
491	ERa
540	ERa
431	ERa
371	ERa
358	ERa
368	ERa
422	ERa
623	ERa
580	ERa
372	ERa
277	ERa
327	ERa
271	ERa
291	ERa
251	ERa
482	ERa
259	ERa
679	ERa
842	ERa
238	ERa
287	ERa
577	ERa
337	ERa
251	ERa
576	ERa
395	ERa
542	ERa
756	ERa
731	ERa
458	ERa
563	ERa
329	ERa
387	ERa
369	ERa
522	ERa
359	ERa
253	ERa
577	ERa
231	ERa
324	ERa
616	ERa
785	ERa
331	ERa
248	ERa
451	ERa
286	ERa
351	ERa
660	ERa
376	ERa
430	ERa
360	ERa
610	ERa
636	ERa
588	ERa
349	ERa
213	ERa
215	ERa
329	ERa
622	ERa
541	ERa
523	ERa
672	ERa
552	ERa
459	ERa
472	ERa
211	ERa
319	ERa
704	ERa
852	ERa
417	ERa
259	ERa
217	ERa
430	ERa
818	ERa
248	ERa
633	ERa
223	ERa
782	ERa
292	ERa
687	ERa
338	ERa
658	ERa
1044	ERa
389	ERa
328	ERa
348	ERa
574	ERa
461	ERa
210	ERa
249	ERa
578	ERa
309	ERa
353	ERa
350	ERa
942	ERa
365	ERa
845	ERa
756	ERa
299	ERa
257	ERa
601	ERa
560	ERa
650	ERa
257	ERa
332	ERa
872	ERa
528	ERa
284	ERa
1420	ERa
325	ERa
682	ERa
429	ERa
248	ERa
424	ERa
220	ERa
688	ERa
593	ERa
421	ERa
715	ERa
891	ERa
1150	ERa
246	ERa
258	ERa
290	ERa
538	ERa
447	ERa
465	ERa
462	ERa
375	ERa
711	ERa
318	ERa
875	ERa
307	ERa
529	ERa
632	ERa
308	ERa
239	ERa
655	ERa
776	ERa
426	ERa
316	ERa
707	ERa
248	ERa
315	ERa
320	ERa
918	ERa
332	ERa
250	ERa
563	ERa
323	ERa
277	ERa
302	ERa
382	ERa
221	ERa
491	ERa
621	ERa
654	ERa
221	ERa
252	ERa
337	ERa
851	ERa
392	ERa
271	ERa
253	ERa
518	ERa
911	ERa
906	ERa
260	ERa
58	ERa
154	ERa
259	ERa
979	ERa
566	ERa
532	ERa
212	ERa
526	ERa
332	ERa
1257	ERa
404	ERa
269	ERa
321	ERa
319	ERa
377	ERa
404	ERa
465	ERa
287	ERa
336	ERa
420	ERa
572	ERa
850	ERa
358	ERa
985	ERa
281	ERa
227	ERa
402	ERa
242	ERa
1037	ERa
413	ERa
869	ERa
368	ERa
257	ERa
285	ERa
301	ERa
394	ERa
288	ERa
477	ERa
435	ERa
243	ERa
363	ERa
671	ERa
315	ERa
509	ERa
465	ERa
397	ERa
468	ERa
438	ERa
1538	ERa
402	ERa
560	ERa
504	ERa
383	ERa
360	ERa
330	ERa
302	ERa
227	ERa
643	ERa
774	ERa
259	ERa
923	ERa
242	ERa
354	ERa
298	ERa
215	ERa
530	ERa
862	ERa
470	ERa
556	ERa
841	ERa
267	ERa
366	ERa
220	ERa
466	ERa
550	ERa
219	ERa
695	ERa
743	ERa
415	ERa
277	ERa
769	ERa
401	ERa
249	ERa
423	ERa
243	ERa
354	ERa
315	ERa
278	ERa
386	ERa
371	ERa
533	ERa
359	ERa
682	ERa
243	ERa
512	ERa
333	ERa
794	ERa
448	ERa
1531	ERa
258	ERa
475	ERa
618	ERa
259	ERa
292	ERa
432	ERa
1707	ERa
516	ERa
256	ERa
488	ERa
289	ERa
992	ERa
439	ERa
1718	ERa
612	ERa
1176	ERa
438	ERa
708	ERa
458	ERa
312	ERa
297	ERa
712	ERa
562	ERa
574	ERa
783	ERa
408	ERa
885	ERa
415	ERa
481	ERa
431	ERa
630	ERa
1240	ERa
894	ERa
292	ERa
498	ERa
944	ERa
747	ERa
459	ERa
627	ERa
856	ERa
489	ERa
958	ERa
438	ERa
1020	ERa
443	ERa
621	ERa
294	ERa
425	ERa
439	ERa
298	ERa
255	ERa
409	ERa
523	ERa
294	ERa
298	ERa
487	ERa
466	ERa
276	ERa
286	ERa
467	ERa
396	ERa
960	ERa
477	ERa
501	ERa
646	ERa
356	ERa
569	ERa
396	ERa
876	ERa
636	ERa
465	ERa
608	ERa
780	ERa
223	ERa
282	ERa
362	ERa
323	ERa
329	ERa
740	ERa
672	ERa
503	ERa
480	ERa
286	ERa
407	ERa
471	ERa
277	ERa
351	ERa
471	ERa
474	ERa
561	ERa
424	ERa
1009	ERa
1147	ERa
513	ERa
378	ERa
663	ERa
347	ERa
243	ERa
706	ERa
663	ERa
432	ERa
503	ERa
272	ERa
495	ERa
405	ERa
698	ERa
639	ERa
710	ERa
359	ERa
785	ERa
577	ERa
377	ERa
368	ERa
671	ERa
675	ERa
229	ERa
286	ERa
1524	ERa
245	ERa
407	ERa
554	ERa
641	ERa
734	ERa
501	ERa
497	ERa
349	ERa
424	ERa
300	ERa
613	ERa
333	ERa
904	ERa
680	ERa
284	ERa
237	ERa
243	ERa
281	ERa
1539	ERa
1302	ERa
481	ERa
1333	ERa
411	ERa
710	ERa
714	ERa
408	ERa
620	ERa
630	ERa
423	ERa
826	ERa
507	ERa
292	ERa
816	ERa
693	ERa
1040	ERa
1180	ERa
539	ERa
747	ERa
466	ERa
310	ERa
387	ERa
827	ERa
382	ERa
477	ERa
337	ERa
608	ERa
600	ERa
542	ERa
442	ERa
459	ERa
445	ERa
540	ERa
492	ERa
216	ERa
800	ERa
1165	ERa
141	ERa
330	ERa
422	ERa
323	ERa
470	ERa
634	ERa
670	ERa
529	ERa
707	ERa
486	ERa
882	ERa
489	ERa
428	ERa
212	ERa
595	ERa
213	ERa
889	ERa
686	ERa
367	ERa
702	ERa
654	ERa
822	ERa
616	ERa
429	ERa
455	ERa
687	ERa
383	ERa
196	ERa
596	ERa
978	ERa
310	ERa
354	ERa
413	ERa
535	ERa
187	ERa
729	ERa
545	ERa
423	ERa
687	ERa
1363	ERa
646	ERa
511	ERa
516	ERa
938	ERa
560	ERa
149	ERa
1043	ERa
562	ERa
1053	ERa
441	ERa
611	ERa
276	ERa
578	ERa
148	ERa
630	ERa
300	ERa
225	ERa
234	ERa
319	ERa
404	ERa
325	ERa
616	ERa
947	ERa
204	ERa
297	ERa
389	ERa
52	ERa
562	ERa
339	ERa
614	ERa
745	ERa
614	ERa
498	ERa
354	ERa
452	ERa
167	ERa
329	ERa
755	ERa
691	ERa
42	ERa
1120	ERa
1242	ERa
545	ERa
142	ERa
908	ERa
802	ERa
719	ERa
403	ERa
704	ERa
555	ERa
245	ERa
330	ERa
489	ERa
493	ERa
498	ERa
472	ERa
811	ERa
284	ERa
796	ERa
287	ERa
899	ERa
661	ERa
94	ERa
695	ERa
728	ERa
308	ERa
434	ERa
268	ERa
615	ERa
429	ERa
506	ERa
718	ERa
243	ERa
653	ERa
323	ERa
552	ERa
940	ERa
539	ERa
1039	ERa
468	ERa
287	ERa
1106	ERa
602	ERa
775	ERa
359	ERa
246	ERa
427	ERa
546	ERa
386	ERa
512	ERa
290	ERa
695	ERa
1038	ERa
411	ERa
952	ERa
400	ERa
443	ERa
972	ERa
610	ERa
300	ERa
699	ERb
325	ERb
373	ERb
246	ERb
318	ERb
431	ERb
471	ERb
371	ERb
368	ERb
504	ERb
