sample	activity_exp_1	activity_exp_2
sample_0	N	N	
sample_1	Y	Y	
sample_2	N	N	
sample_3	Y	Y	
sample_4	N	Y	
sample_5	N	N	
sample_6	Y	Y	
sample_7	N	N	
sample_8	Y	Y	
sample_9	N	N	
sample_10	N	N	
sample_11	Y	Y	
sample_12	Y	Y	
sample_13	Y	Y	
sample_14	Y	Y	
sample_15	Y	Y	
sample_16	N	N	
sample_17	Y	Y	
sample_18	Y	Y	
sample_19	Y	Y	
sample_20	N	N	
sample_21	N	N	
sample_22	Y	Y	
sample_23	N	N	
sample_24	Y	Y	
sample_25	Y	Y	
sample_26	N	N	
sample_27	N	Y	
sample_28	N	N	
sample_29	Y	Y	
sample_30	Y	Y	
sample_31	Y	Y	
sample_32	N	N	
sample_33	N	Y	
sample_34	N	Y	
sample_35	Y	Y	
sample_36	Y	Y	
sample_37	Y	Y	
sample_38	N	Y	
sample_39	N	N	
sample_40	Y	Y	
sample_41	Y	Y	
sample_42	N	N	
sample_43	N	Y	
sample_44	N	N	
sample_45	Y	Y	
sample_46	Y	Y	
sample_47	Y	Y	
sample_48	N	N	
sample_49	Y	Y	
sample_50	Y	Y	
sample_51	Y	Y	
sample_52	N	Y	
sample_53	N	Y	
sample_54	Y	Y	
sample_55	N	Y	
sample_56	Y	Y	
sample_57	Y	Y	
sample_58	Y	Y	
sample_59	Y	Y	
sample_60	N	N	
sample_61	Y	Y	
sample_62	N	N	
sample_63	N	N	
sample_64	Y	Y	
sample_65	Y	Y	
sample_66	N	N	
sample_67	N	N	
sample_68	N	N	
sample_69	N	N	
sample_70	N	N	
sample_71	Y	Y	
sample_72	Y	Y	
sample_73	Y	Y	
sample_74	N	N	
sample_75	N	N	
sample_76	N	N	
sample_77	N	N	
sample_78	N	N	
sample_79	N	N	
sample_80	N	N	
sample_81	Y	Y	
sample_82	Y	Y	
sample_83	Y	Y	
sample_84	Y	Y	
sample_85	Y	Y	
sample_86	N	N	
sample_87	N	N	
sample_88	N	N	
sample_89	N	N	
sample_90	N	N	
sample_91	N	N	
sample_92	N	N	
sample_93	N	N	
sample_94	Y	Y	
sample_95	N	N	
sample_96	Y	Y	
sample_97	Y	Y	
sample_98	N	N	
sample_99	Y	Y	
sample_100	N	N	
sample_101	N	N	
sample_102	Y	Y	
sample_103	N	N	
sample_104	Y	Y	
sample_105	N	N	
sample_106	Y	Y	
sample_107	N	N	
sample_108	N	N	
sample_109	Y	Y	
sample_110	Y	Y	
sample_111	N	N	
sample_112	Y	Y	
sample_113	Y	Y	
sample_114	N	N	
sample_115	N	Y	
sample_116	Y	Y	
sample_117	Y	Y	
sample_118	N	N	
sample_119	N	Y	
sample_120	N	N	
sample_121	N	N	
sample_122	Y	Y	
sample_123	Y	Y	
sample_124	Y	Y	
sample_125	Y	Y	
sample_126	Y	Y	
sample_127	N	Y	
sample_128	Y	Y	
sample_129	N	N	
sample_130	N	Y	
sample_131	N	N	
sample_132	Y	Y	
sample_133	N	Y	
sample_134	Y	Y	
sample_135	Y	Y	
sample_136	Y	Y	
sample_137	Y	Y	
sample_138	Y	Y	
sample_139	N	N	
sample_140	Y	Y	
sample_141	Y	Y	
sample_142	Y	Y	
sample_143	N	N	
sample_144	N	N	
sample_145	Y	Y	
sample_146	Y	Y	
sample_147	N	N	
sample_148	Y	Y	
sample_149	Y	Y	
sample_150	N	N	
sample_151	N	N	
sample_152	Y	Y	
sample_153	N	N	
sample_154	N	Y	
sample_155	Y	Y	
sample_156	Y	Y	
sample_157	Y	Y	
sample_158	N	N	
sample_159	N	N	
sample_160	N	N	
sample_161	N	N	
sample_162	N	N	
sample_163	Y	Y	
sample_164	Y	Y	
sample_165	Y	Y	
sample_166	N	N	
sample_167	N	N	
sample_168	Y	Y	
sample_169	Y	Y	
sample_170	N	Y	
sample_171	Y	Y	
sample_172	N	N	
sample_173	Y	Y	
sample_174	N	N	
sample_175	Y	Y	
sample_176	N	Y	
sample_177	N	Y	
sample_178	N	N	
sample_179	Y	Y	
sample_180	Y	Y	
sample_181	Y	Y	
sample_182	N	N	
sample_183	Y	Y	
sample_184	Y	Y	
sample_185	N	N	
sample_186	Y	Y	
sample_187	Y	Y	
sample_188	Y	Y	
sample_189	Y	Y	
sample_190	N	N	
sample_191	Y	Y	
sample_192	Y	Y	
sample_193	Y	Y	
sample_194	Y	Y	
sample_195	Y	Y	
sample_196	Y	Y	
sample_197	Y	Y	
sample_198	N	Y	
sample_199	Y	Y	
sample_200	Y	Y	
sample_201	Y	Y	
sample_202	N	N	
sample_203	Y	Y	
sample_204	N	N	
sample_205	N	N	
sample_206	N	N	
sample_207	Y	Y	
sample_208	Y	Y	
sample_209	Y	Y	
sample_210	N	N	
sample_211	Y	Y	
sample_212	Y	Y	
sample_213	N	N	
sample_214	N	Y	
sample_215	Y	Y	
sample_216	Y	Y	
sample_217	N	N	
sample_218	Y	Y	
sample_219	Y	Y	
sample_220	Y	Y	
sample_221	Y	Y	
sample_222	N	N	
sample_223	Y	Y	
sample_224	Y	Y	
sample_225	N	Y	
sample_226	N	Y	
sample_227	Y	Y	
sample_228	Y	Y	
sample_229	N	N	
sample_230	N	N	
sample_231	N	N	
sample_232	Y	Y	
sample_233	N	N	
sample_234	Y	Y	
sample_235	Y	Y	
sample_236	Y	Y	
sample_237	Y	Y	
sample_238	N	Y	
sample_239	Y	Y	
sample_240	Y	Y	
sample_241	N	N	
sample_242	Y	Y	
sample_243	N	N	
sample_244	Y	Y	
sample_245	N	N	
sample_246	N	N	
sample_247	N	N	
sample_248	Y	Y	
sample_249	N	Y	
sample_250	Y	Y	
sample_251	N	N	
sample_252	N	N	
sample_253	N	N	
sample_254	Y	Y	
sample_255	Y	Y	
sample_256	Y	Y	
sample_257	Y	Y	
sample_258	Y	Y	
sample_259	Y	Y	
sample_260	N	N	
sample_261	N	N	
sample_262	N	N	
sample_263	N	N	
sample_264	Y	Y	
sample_265	Y	Y	
sample_266	N	Y	
sample_267	Y	Y	
sample_268	N	Y	
