chr	start	end	score
chr1	4437288	4437576	605.812300778621
chr1	4437624	4437845	506.159906438924
chr1	4682247	4682767	615.986783078932
chr1	4779329	4779612	468.95944378602
chr1	6227828	6228473	511.556976833497
chr1	9699267	9699761	NA
chr1	10058063	10058505	469.727753776387
chr1	13216857	13217110	310.425557515571
chr1	13773443	13773655	432.981016754638
chr1	16392877	16393444	517.96340435039
chr1	20335657	20336106	489.390580224709
chr1	21443377	21443932	458.747888877046
chr1	24345667	24346475	439.00287897988
chr1	31146220	31146628	524.556108470685
chr1	31295381	31296063	499.954831818891
chr1	31313085	31313449	522.713111416244
chr1	31373691	31374259	267.696353701026
chr1	34016552	34017017	520.96878070625
chr1	34403955	34404180	449.824810344672
chr1	34520532	34521416	526.829364458917
chr1	36245415	36245663	433.748336139044
chr1	36245807	36246096	427.393508268658
chr1	36788300	36788624	561.024116750731
chr1	36848840	36849151	557.973175993947
chr1	37348029	37348287	NA
chr1	37348680	37348899	617.292663871921
chr1	37348950	37349349	520.755151567932
chr1	37669452	37669874	570.466543319368
chr1	38499240	38499560	501.799293173152
chr1	38562976	38564377	519.293345455445
chr1	38564672	38565161	735.452960684565
chr1	38629676	38630068	519.516676034786
chr1	39311036	39311635	600.712761563871
chr1	39425981	39426358	259.168620736930
chr1	39747799	39748145	439.966999423807
chr1	39748256	39748770	392.664482642341
chr1	39780958	39781352	581.390755611085
chr1	39894005	39894416	473.222942338718
chr1	40226985	40227376	461.934751068898
chr1	40481828	40482048	370.004507677753
chr1	40488205	40488768	467.840474559376
chr1	40488814	40489079	705.479307153081
chr1	40489272	40489530	438.46702346208
chr1	40500117	40500396	553.388770945812
chr1	40500537	40501003	612.485211280781
chr1	40548988	40549383	557.006220206704
chr1	40553361	40553861	516.21260077543
chr1	41883581	41884049	407.742710439681
chr1	42868021	42869281	483.360590109692
chr1	43633847	43634643	621.73095755529
chr1	43727556	43727820	513.339792211137
chr1	46270047	46270270	496.670141059964
chr1	46286032	46286520	403.00259729932
chr1	46289354	46289762	520.895954256773
chr1	46289808	46290110	319.114489111342
chr1	46290165	46290464	373.195799736687
chr1	46441252	46441465	326.267715969364
chr1	51055557	51055995	495.419768554636
chr1	51881806	51882140	475.756873991611
chr1	52132276	52132775	488.93736007788
chr1	52229526	52229780	652.089992321766
chr1	52256587	52257488	516.976627360474
chr1	52267700	52268188	515.348650376877
chr1	52269730	52270529	531.023015092409
chr1	53442944	53443397	587.775435424946
chr1	55435143	55435740	461.632296235893
chr1	55554088	55554621	504.830685398341
chr1	58422216	58422842	614.347311852143
chr1	58494256	58494504	510.534525679377
chr1	58536865	58537462	451.640795688153
chr1	59009713	59010144	527.453286592207
chr1	59578998	59579674	565.903877470787
chr1	59605803	59606040	588.7952196474
chr1	59616236	59616631	619.90235804539
chr1	59725696	59726493	562.39920058533
chr1	59787692	59788264	419.569949238001
chr1	59793149	59793475	517.327498034912
chr1	59793881	59794095	478.694165655676
chr1	59839190	59839658	661.838726796773
chr1	59893113	59893539	555.760758210636
chr1	59906824	59907079	540.752966530769
chr1	60999283	60999527	402.312567758947
chr1	61062411	61062726	347.253603545846
chr1	63116051	63116970	408.044502128515
chr1	63117269	63118040	459.83887043805
chr1	63123338	63123579	357.179513090997
chr1	63140259	63140662	533.77179967608
chr1	63202144	63202725	555.013550035393
chr1	63216365	63216588	562.863779403029
chr1	65188519	65188807	618.395407162138
chr1	65193299	65194240	291.044882585741
chr1	65577263	65578071	574.492247315976
chr1	67503582	67504184	604.001403681467
chr1	67513255	67513547	643.771027590995
chr1	67516225	67516686	584.298792448976
chr1	69385904	69386475	651.727507139714
chr1	70229260	70229470	502.405981469784
chr1	72055594	72056388	609.2220040858
chr1	72058064	72058276	482.478012955004
chr1	72058330	72058663	362.961998285826
chr1	72070730	72071502	456.231756775925
chr1	72071574	72071840	439.813702229104
chr1	72074426	72074757	557.78777416649
chr1	72231636	72231852	429.154564220497
chr1	72310703	72311026	597.043756140469
chr1	72311244	72311635	392.191817501801
chr1	72320159	72320626	523.458737336602
chr1	72320731	72320951	361.087864663357
chr1	72336108	72336887	525.564034842042
chr1	72362079	72362377	583.364309968503
chr1	72634187	72634620	539.600980461798
chr1	73204935	73205512	561.487957958389
chr1	73243562	73244118	541.739154680348
chr1	74452660	74453129	513.857691760525
chr1	74463762	74464218	522.858791402208
chr1	74465023	74465494	491.546063074461
chr1	74478149	74478943	510.139116801923
chr1	74495055	74495486	709.889687024059
chr1	74509610	74509969	603.5372906112
chr1	74520727	74521013	365.240590774059
chr1	75157033	75157763	322.110093707157
chr1	75171315	75171713	499.14184385491
chr1	75179856	75180134	438.688664463904
chr1	75180282	75180707	445.132989925752
chr1	75591875	75592203	492.310417748456
chr1	75612912	75613231	422.779632967235
chr1	75624032	75624401	553.680586042946
chr1	75659954	75660509	273.66593190101
chr1	75987282	75987658	578.850430802553
chr1	76111141	76111352	420.039645976714
chr1	76111508	76112066	496.77224617055
chr1	77369624	77370017	444.590805245056
chr1	77377424	77377639	416.466119416723
chr1	79007543	79007868	661.43376840656
chr1	79037062	79037361	402.019466343409
chr1	79037491	79037806	568.537823946472
chr1	79985590	79986200	343.809859589756
chr1	82678269	82678622	611.859603919294
chr1	82687523	82687802	455.576043505714
chr1	82687924	82688502	724.853281104858
chr1	82699425	82700176	727.904853848404
chr1	82702979	82703457	291.189090757327
chr1	82803023	82803418	548.299979616108
chr1	84774027	84774251	373.814868814434
chr1	84804418	84805040	443.218033272341
chr1	84810485	84811017	694.587363500673
chr1	85399098	85399453	493.35993638384
chr1	85932426	85932817	496.932610926244
chr1	86355854	86356149	517.774368907297
chr1	86608441	86608709	623.719079044734
chr1	86776841	86777316	545.824330167907
chr1	87480716	87480965	593.631274893104
chr1	87481066	87481849	565.630925514506
chr1	87686395	87686869	402.409658599424
chr1	87923838	87924431	422.572436623201
chr1	87934144	87934399	670.298611849686
chr1	87952563	87952830	414.722582965127
chr1	88075784	88076562	405.800408427295
chr1	88122566	88123973	415.398469434174
chr1	88188988	88189417	430.328155724784
chr1	88197708	88198219	739.914176006565
chr1	88317754	88318581	527.123362866709
chr1	89465612	89465838	548.14644266782
chr1	89578474	89578828	488.337404026538
chr1	89730751	89731155	630.750352367135
chr1	90144001	90144479	462.432706972413
chr1	90971476	90971842	472.666037656139
chr1	91015769	91016302	503.151854680210
chr1	91232010	91232411	481.200203243373
chr1	91328573	91328842	557.886491032625
chr1	91338664	91338979	326.664935475789
chr1	91358083	91358468	447.134130464279
chr1	91360122	91360889	397.922808210297
chr1	91363973	91364300	568.044065540334
chr1	91913588	91914454	501.584158926800
chr1	92640645	92640929	462.919218192769
chr1	92654452	92654806	319.02621015882
chr1	92963941	92964269	525.71421448902
chr1	92964336	92964801	471.893104103321
chr1	93059474	93060437	559.60363797708
chr1	93369018	93369450	538.769214509181
chr1	97660659	97661173	555.275532680945
chr1	100576316	100577285	468.300045510945
chr1	105036853	105037337	NA
chr1	105100399	105100997	537.870243519535
chr1	105305646	105306035	309.633437177925
chr1	105872045	105872427	407.405599885155
chr1	105879741	105880205	377.805851616902
chr1	105896455	105897034	307.688929988803
chr1	118952050	118952268	567.55578066476
chr1	119054891	119055107	528.222727749949
chr1	119055155	119055380	459.956881037798
chr1	119063688	119064044	620.811640818625
chr1	119808176	119808608	382.052377192461
chr1	119844985	119845238	427.899770052484
chr1	119871730	119872133	316.187734612033
chr1	119892528	119892884	332.344857207742
chr1	121024908	121025155	467.287830659441
chr1	121117905	121118568	615.809193864311
chr1	121130940	121131493	266.238959331741
chr1	126504688	126504901	467.513855283181
chr1	127589974	127590226	585.438734133047
chr1	127708683	127708911	399.084545282281
chr1	127824965	127825183	511.934129596679
chr1	130547313	130547827	396.830767052544
chr1	130548266	130548777	578.365784500404
chr1	130549181	130549475	721.3143941789
chr1	130585442	130585690	439.490757673097
chr1	130945476	130946018	554.406806490961
chr1	130953858	130954435	313.097689921384
chr1	130960845	130961335	507.322959992734
chr1	130995982	130996723	539.539659515678
chr1	131054735	131055127	594.066362839768
chr1	131055311	131055863	695.775526291779
chr1	131068832	131069447	598.160583658487
chr1	131417499	131417904	529.438243280634
chr1	131489916	131490554	573.239430138918
chr1	131494824	131495079	471.356346801942
chr1	131508599	131508854	618.696978222105
chr1	131668048	131668310	408.716830967735
chr1	131683386	131683969	370.180749805172
chr1	131697436	131697810	526.40089688056
chr1	131862170	131863021	336.198857406475
chr1	131864890	131865282	674.362394121374
chr1	132194401	132195123	590.42654205321
chr1	132195209	132195473	624.796178528688
chr1	132204680	132205528	700.935990817341
chr1	132205691	132206344	329.116799484605
chr1	133001519	133002207	384.866050709761
chr1	133003271	133003552	496.370283786895
chr1	133016307	133016531	556.347941008149
chr1	133178465	133178718	465.629277030683
chr1	133243314	133243671	516.151947688968
chr1	133243792	133244150	550.879917706004
chr1	133244322	133244923	662.272609483276
chr1	133253339	133254284	501.319307498776
chr1	133804191	133804681	435.163961962522
chr1	133820834	133821273	558.048657558025
chr1	133821566	133822263	558.088349107175
chr1	133822330	133822697	483.499137989128
chr1	134409252	134409508	577.715438719036
chr1	135058012	135058746	387.659318701667
chr1	135171228	135171805	444.694820733291
chr1	135886176	135886627	492.01610250191
chr1	135898309	135898557	586.353346989259
chr1	136328704	136328966	603.647975759101
chr1	136329119	136329580	515.243153050595
chr1	136428827	136429416	679.858878306183
chr1	136429883	136430410	541.595122191055
chr1	136552892	136553576	520.999910297456
chr1	136570846	136571168	586.775322541987
chr1	136583713	136583933	608.985309890843
chr1	136784055	136784276	641.99505765488
chr1	136813527	136813827	571.515153016303
chr1	136850937	136851798	563.79859220205
chr1	136857478	136858386	624.361361664593
chr1	136901644	136902174	498.164089201228
chr1	138399385	138399709	557.758798902218
chr1	138811368	138811661	663.704211189628
chr1	139383536	139383775	475.57107279408
chr1	140116693	140117045	553.574911996922
chr1	140206200	140206484	574.923849763772
chr1	140319884	140320137	560.844499097894
chr1	140354658	140354903	477.997887470018
chr1	143563514	143563739	637.522509774683
chr1	150408511	150408724	400.077429756075
chr1	151066852	151067284	441.814784069463
chr1	151070919	151071377	509.67391032383
chr1	151072753	151073039	510.027815335293
chr1	151075033	151075370	574.794093342447
chr1	151096312	151096631	540.849996357982
chr1	151110159	151110450	400.678879507321
chr1	151226800	151227021	401.994449368182
chr1	153655283	153655679	498.729503382122
chr1	153677553	153677879	458.837204400298
chr1	153681293	153681578	547.778179011618
chr1	153681972	153682640	421.033754341535
chr1	155259227	155259721	492.185959898961
chr1	155259812	155260108	537.390677310083
chr1	155518456	155519062	490.798839121524
chr1	155523154	155523437	661.643601007275
chr1	155784644	155785672	525.3975729759
chr1	155795125	155795701	465.376920877654
chr1	155797392	155798538	506.506761125012
chr1	155798996	155799750	284.988783721054
chr1	155833780	155834067	374.113841481691
chr1	156027650	156027881	297.999944643486
chr1	156657860	156658154	502.550715652862
chr1	156658256	156658857	522.736693133024
chr1	157014576	157015660	465.318845965516
chr1	160332231	160332441	499.789458141438
chr1	160384012	160384843	556.533357698245
chr1	160407784	160408035	543.979746287422
chr1	160988104	160988315	628.811864100114
chr1	160989420	160989672	572.885498365171
chr1	160995242	160995537	538.510543809609
chr1	161047580	161048621	396.849053613406
chr1	161255544	161256057	358.585735261292
chr1	161256183	161256947	380.541747599047
chr1	161257384	161258060	507.631644192836
chr1	161258392	161259102	676.40970452252
chr1	161259667	161260028	442.457911340476
chr1	161276670	161276969	517.000682757774
chr1	161387299	161387836	463.303869561683
chr1	162881188	162881513	468.07834558944
chr1	162906926	162907247	325.602049636682
chr1	162912638	162913218	565.070679992886
chr1	163000136	163000733	292.851520648781
chr1	164253300	164253550	577.072569276019
chr1	164254137	164254353	557.143055258861
chr1	164265608	164266206	601.556989854039
chr1	164270489	164271222	576.038178799512
chr1	164428429	164428693	503.905503607582
chr1	164432531	164432815	423.714537943909
chr1	164722665	164723110	345.335496748828
chr1	164921487	164921993	608.881334113548
chr1	165505556	165506899	572.728111910715
chr1	165611640	165611998	543.964596210698
chr1	165633436	165634287	384.155273414218
chr1	166294560	166295171	448.123361695772
chr1	166295380	166295602	308.221783029818
chr1	166295684	166296511	492.739924345846
chr1	166308227	166308840	474.568840623655
chr1	168390615	168390864	586.703454258006
chr1	169243039	169243992	418.559769831005
chr1	170400977	170402242	458.401576460732
chr1	170504525	170504900	493.360451895322
chr1	170573498	170573983	275.049154518497
chr1	170577415	170577744	692.219054520454
