id	chr	gene_length
NM_182905	chr1	2615
NM_001005484	chr1	918
NM_001005224	chr1	937
NM_001005277	chr1	937
NM_001005224	chr1	937
NM_001005277	chr1	937
NM_152486	chr1	18842
NM_015658	chr1	15036
NM_198317	chr1	5129
NM_032129	chr1	8602
NM_021170	chr1	1126
NM_005101	chr1	1035
NM_198576	chr1	35990
NM_017891	chr1	34265
NM_153254	chr1	6165
NM_004195	chr1	3201
NM_148901	chr1	3201
NM_148902	chr1	3201
NM_003327	chr1	2806
NM_016176	chr1	15093
NM_016547	chr1	15098
NM_058167	chr1	19941
NM_194315	chr1	19941
NM_194457	chr1	19941
NM_194458	chr1	19941
NM_002978	chr1	9834
NM_030649	chr1	9697
NM_153339	chr1	3063
NM_001029885	chr1	4133
NM_004421	chr1	13834
NM_182779	chr1	13857
NM_181870	chr1	14102
NM_032348	chr1	5844
NM_017900	chr1	1471
NM_001039577	chr1	13598
NM_030937	chr1	13599
NM_017971	chr1	5365
NM_022834	chr1	5237
NM_199121	chr1	5237
NM_001039211	chr1	7492
NM_031921	chr1	24418
NM_018188	chr1	22510
NM_014188	chr1	33209
NM_080875	chr1	15101
NM_006983	chr1	2470
NM_033534	chr1	79767
NM_033486	chr1	84673
NM_033487	chr1	84673
NM_033488	chr1	84673
NM_033489	chr1	84673
NM_033492	chr1	84673
NM_033493	chr1	84673
NM_024011	chr1	21444
NM_033527	chr1	21444
NM_033528	chr1	21444
NM_033529	chr1	21444
NM_033531	chr1	21444
NM_033532	chr1	21444
NM_033536	chr1	21456
NM_033537	chr1	21456
NM_182838	chr1	13751
NM_023018	chr1	27232
NM_002074	chr1	105766
NM_138705	chr1	2468
NM_178545	chr1	1678
NM_001003808	chr1	5972
NM_000815	chr1	11348
NM_002744	chr1	134924
NM_001033581	chr1	111747
NM_001033582	chr1	80678
NM_003036	chr1	79323
NM_024848	chr1	70298
NM_002617	chr1	7768
NM_153818	chr1	7768
NM_014638	chr1	29211
NM_018216	chr1	18061
NM_001010926	chr1	1499
NM_003820	chr1	7461
NM_152371	chr1	4654
NM_033467	chr1	42349
NM_080431	chr1	1420
NM_022114	chr1	369440
NM_199454	chr1	369440
NM_014448	chr1	17554
NM_182752	chr1	5137
NM_017818	chr1	19298
NM_005427	chr1	80728
NM_207306	chr1	9477
NM_152492	chr1	19248
NM_020710	chr1	16285
NM_001004285	chr1	28148
NM_001004286	chr1	28148
NM_004402	chr1	28148
NM_207356	chr1	11147
NM_015102	chr1	129662
NM_003636	chr1	74144
NM_172130	chr1	74144
NM_015557	chr1	78331
NM_000983	chr1	14599
NM_173795	chr1	11940
NM_012405	chr1	14790
NM_001024598	chr1	2450
NM_207370	chr1	12180
NM_181866	chr1	94672
NM_181865	chr1	96432
NM_181864	chr1	121551
NM_007274	chr1	129494
NM_019089	chr1	4684
NM_003790	chr1	5035
NM_148965	chr1	5035
NM_148966	chr1	5035
NM_148967	chr1	5035
NM_148970	chr1	5035
NM_001039664	chr1	2085
NM_001042664	chr1	24489
NM_024654	chr1	29372
NM_138697	chr1	24383
NM_177539	chr1	24383
NM_177540	chr1	24383
NM_177541	chr1	24383
NM_005341	chr1	9229
NM_014851	chr1	12145
NM_153812	chr1	10312
NM_138350	chr1	10394
NM_018198	chr1	67643
NM_015215	chr1	984380
NM_004781	chr1	10163
NM_016831	chr1	60474
NM_006786	chr1	5421
NM_021995	chr1	5898
NM_001561	chr1	20980
NM_007262	chr1	23544
NM_018948	chr1	14562
NM_001428	chr1	17718
NM_001215	chr1	29225
NM_207420	chr1	23046
NM_003039	chr1	32664
NM_004285	chr1	36530
NM_025106	chr1	76605
NM_001010866	chr1	16027
NM_005026	chr1	77167
NM_001009566	chr1	95471
NM_014944	chr1	95471
NM_001012329	chr1	61983
NM_020248	chr1	61983
NM_032368	chr1	13049
NM_052960	chr1	18804
NM_006048	chr1	148252
NM_183416	chr1	95985
NM_015074	chr1	170824
NM_002631	chr1	21116
NM_199294	chr1	12706
NM_198544	chr1	22050
NM_199295	chr1	12065
NM_001302	chr1	1987
NM_004401	chr1	12009
NM_213566	chr1	12009
NM_001039183	chr1	1364
NM_173507	chr1	17726
NM_007375	chr1	12870
NM_006610	chr1	20705
NM_139208	chr1	2430
NM_003132	chr1	5443
NM_001001998	chr1	33261
NM_002685	chr1	33261
NM_004958	chr1	155972
NM_021146	chr1	6640
NM_013319	chr1	13060
NM_012168	chr1	6290
NM_183412	chr1	8952
NM_001014765	chr1	8470
NM_033182	chr1	8470
NM_183413	chr1	8470
NM_018438	chr1	10227
NM_006341	chr1	6650
NM_198545	chr1	28556
NM_005957	chr1	20329
NM_001286	chr1	36892
NM_021735	chr1	36892
NM_021736	chr1	36892
NM_021737	chr1	36892
NM_006172	chr1	2060
NM_002521	chr1	1471
NM_138346	chr1	6356
NM_000302	chr1	40848
NM_014874	chr1	33197
NM_001025374	chr1	12595
NM_021933	chr1	12595
NM_001243	chr1	80829
NM_152942	chr1	18305
NM_001066	chr1	42217
NM_015378	chr1	281984
NM_018156	chr1	281984
NM_004753	chr1	49881
NM_001013630	chr1	22531
NM_152290	chr1	14939
NM_023013	chr1	4678
NM_001013631	chr1	1316
NM_023014	chr1	4824
NM_001009611	chr1	6981
NM_001039361	chr1	5362
NM_001012276	chr1	4117
NM_001012277	chr1	2720
NM_001010889	chr1	3843
NM_001013407	chr1	9238
NM_001013692	chr1	3497
NM_001013407	chr1	9239
NM_001010889	chr1	3842
NM_001012276	chr1	4117
NM_001010890	chr1	7016
NM_001012276	chr1	4117
NM_001012277	chr1	2720
NM_001010890	chr1	7016
NM_006474	chr1	34199
NM_198389	chr1	34199
NM_001006624	chr1	32484
NM_001006625	chr1	32484
NM_015866	chr1	83220
NM_012231	chr1	120226
NM_001007257	chr1	38694
NM_015209	chr1	467080
NM_001018000	chr1	141947
NM_001018001	chr1	135997
NM_001017999	chr1	119878
NM_201628	chr1	16442
NM_182534	chr1	36512
NM_018022	chr1	66644
NM_024329	chr1	20394
NM_007272	chr1	8216
NM_033440	chr1	15357
NM_015849	chr1	15299
NM_001229	chr1	31994
NM_032996	chr1	31994
NM_015291	chr1	44875
NM_024758	chr1	12454
NM_032341	chr1	42679
NM_006511	chr1	1853
NM_207348	chr1	5076
NM_001013641	chr1	5559
NM_017556	chr1	27832
NM_001024215	chr1	10722
NM_001024216	chr1	21628
NM_015001	chr1	92592
NM_003443	chr1	34149
NM_178840	chr1	2450
NM_014424	chr1	4427
NM_000085	chr1	13125
NM_182623	chr1	15831
NM_004431	chr1	31732
NM_153213	chr1	14506
NM_030907	chr1	5251
NM_018994	chr1	102389
NM_015609	chr1	29145
NM_198546	chr1	38782
NM_018090	chr1	19340
NM_001013708	chr1	3134
NM_001039703	chr1	28278
NM_001013708	chr1	3135
NM_014675	chr1	51016
NM_002403	chr1	6141
NM_017459	chr1	7083
NM_022089	chr1	25815
NM_181703	chr1	4383
NM_005266	chr1	17153
NM_001080471	chr1	22704
NM_005857	chr1	36124
NM_001080494	chr1	35157
NM_012387	chr1	55804
NM_207421	chr1	29455
NM_018715	chr1	32942
NM_018125	chr1	158040
NM_001011722	chr1	117322
NM_030812	chr1	71713
NM_032880	chr1	270737
NM_002584	chr1	105132
NM_013945	chr1	105132
NM_003748	chr1	31147
NM_170726	chr1	31147
NM_020765	chr1	135745
NM_015047	chr1	33462
NM_201252	chr1	7958
NM_012067	chr1	6224
NM_003689	chr1	8177
NM_004930	chr1	146720
NM_001032363	chr1	31708
NM_182744	chr1	15220
NM_000871	chr1	14275
NM_181719	chr1	117674
NM_019062	chr1	1249
NM_014589	chr1	3310
NM_000300	chr1	4979
NM_012400	chr1	7568
NM_022819	chr1	11054
NM_152376	chr1	7364
NM_001039500	chr1	48286
NM_024544	chr1	8712
NM_207334	chr1	2569
NM_001785	chr1	29955
NM_001042729	chr1	14305
NM_005248	chr1	22926
NM_020816	chr1	54002
NM_016287	chr1	37406
NM_001397	chr1	70556
NM_032264	chr1	44762
NM_002885	chr1	73085
NM_032236	chr1	104895
NM_001032730	chr1	55349
NM_001013693	chr1	12957
NM_005529	chr1	115010
NM_007352	chr1	12428
NM_005747	chr1	10885
NM_030761	chr1	23411
NM_014870	chr1	76631
NM_001006943	chr1	26100
NM_020526	chr1	40084
NM_015991	chr1	3057
NM_172369	chr1	4456
NM_000491	chr1	8347
NM_015013	chr1	64239
NM_033631	chr1	83888
NM_000864	chr1	2834
NM_005826	chr1	34508
NM_001008896	chr1	2815
NM_138479	chr1	2815
NM_003196	chr1	43707
NM_017707	chr1	55616
NM_004091	chr1	24792
NM_002167	chr1	1830
NM_000975	chr1	4620
NM_003198	chr1	16422
NM_020362	chr1	9833
NM_007260	chr1	4382
NM_000403	chr1	4946
NM_001008216	chr1	5206
NM_000191	chr1	23582
NM_000147	chr1	23248
NM_001841	chr1	39357
NM_017761	chr1	3602
NM_006625	chr1	13883
NM_054016	chr1	11249
NM_152372	chr1	38959
NM_021258	chr1	23351
NM_170743	chr1	33104
NM_173064	chr1	33104
NM_173065	chr1	33104
NM_198173	chr1	35927
NM_021180	chr1	32278
NM_198174	chr1	32278
NM_178122	chr1	44460
NM_020448	chr1	57081
NM_013441	chr1	33039
NM_013943	chr1	98911
NM_003000	chr1	35439
NM_020317	chr1	5245
NM_016124	chr1	57955
NM_014313	chr1	24040
NM_020485	chr1	58623
NM_138616	chr1	58623
NM_138617	chr1	58623
NM_138618	chr1	58623
NM_018202	chr1	68510
NM_015627	chr1	25210
NM_020379	chr1	166977
NM_020451	chr1	18047
NM_206926	chr1	18047
NM_019557	chr1	12744
NM_024037	chr1	25352
